nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance,store
alfamart ciputat,5.0,2,-6.2799786,106.7724433,"jl. ciputat raya no.21, rt.1/rw.7, pd. pinang, kota jakarta selatan",ChIJVXFUeUHxaS4RWn11bqNkU6A,0.0,Alfamart
alfamart,4.3,239,-6.3267655,106.8215854,"jl. raya jagakarsa, rt.2/rw.7, kel, kota jakarta selatan",ChIJz9mMD9ntaS4RZubt_6ybvOw,0.0,Alfamart
alfamart,4.8,13,-6.247626299999999,106.7785018,"jl. ciputat raya, rt. 8/8 kel, rt.8/rw.8, kby. lama sel., kota jakarta selatan",ChIJMyzoc8PxaS4Rx4Pb25aRaVI,0.0,Alfamart
alfamart,4.4,217,-6.2495325,106.7836804,"jl. praja dalam k kel, rt.4/rw.12, kby. lama sel., kota jakarta selatan",ChIJd2c5ZS3xaS4R0Hfe_IqDLp0,0.0,Alfamart
alfamart,4.2,283,-6.2491889,106.8186279,"jl. bangka ii kel no.1a, rt.8/rw.3, pela mampang, kota jakarta selatan",ChIJ-dormaPzaS4RlalyMly0C5M,0.0,Alfamart
alfamart,4.3,4,-6.2426448,106.787694,"jl. gandaria 1 no.339, rt.5/rw.2, kramat pela, kota jakarta selatan",ChIJ2-7GYbvxaS4RR9L87NnK-a0,1846.8535461208176,Alfamart
alfamart,3.0,8,-6.2483201,106.7900754,"jl. gandaria i no.04, rt. 010 kel, rt.1/rw.8, kramat pela, kota jakarta selatan",ChIJ9cTCcxLxaS4RIQU5nzRwbcU,1217.3267729452716,Alfamart
alfamart,4.0,6,-6.247622199999999,106.7950681,"jl. barito ii no.kel, rt.8/rw.5, kramat pela, kota jakarta selatan",ChIJ6fv_N23xaS4R8O7J0wDiRO4,928.8772872823968,Alfamart
alfamart,4.4,52,-6.2392731,106.8100952,"jl. wolter monginsidi kel no.46, rt.1/rw.6, petogogan, kota jakarta selatan",ChIJ-TaTa2fxaS4R6RNGaVrMT6k,2172.9519521333823,Alfamart
alfamart,3.5,12,-6.2440528,106.8161758,"jl. bangka raya kel no.31 a, rt.5/rw.5, pela mampang, kota jakarta selatan",ChIJQQRLPWLxaS4Rw_WIE4_HVMw,2296.7583767178307,Alfamart
alfamart,4.6,27,-6.245343399999999,106.8012186,"jl. melawai ( blok m mall kel, rt.3/rw.1, melawai, kota jakarta selatan",ChIJgYNzkW7xaS4RAyBciUPKZRg,1128.7586082301384,Alfamart
alfamart,4.5,13,-6.246897499999999,106.7898721,"jl. gandaria 1 kel no.41, rt.2/rw.3, kramat pela, kota jakarta selatan",ChIJM-mfsy_xaS4RLeBYt92_-zA,1338.3302603126035,Alfamart
alfamart,0.0,0,-6.240064299999999,106.8042097,"pt pln (persero) kantor pusat, jl. trunojoyo no.kel, rt.6/rw.2, melawai, south jakarta city",ChIJp0jKnE_xaS4ReNrwgJLzaRU,1788.2173869440626,Alfamart
alfamart bangka 2,4.3,175,-6.2433743,106.8156896,"jl. bangka raya no.26, rt.5/rw.5, pela mampang, kota jakarta selatan",ChIJJcKfPGLxaS4RGLvlj1PN8YY,2293.9496735945663,Alfamart
alfamart kyai maja,4.5,454,-6.2415428,106.793223,"10, jl. kyai maja no.37, rt.10/rw.7, kramat pela, kota jakarta selatan",ChIJ3XNl2RTxaS4R5Bv0sufWonw,1630.5062374176457,Alfamart
alfamart express stasiun kebayoran lama,3.6,5,-6.2374573,106.7825889,"jl. st. no.7a, rt.2/rw.1, south, kota jakarta selatan",ChIJ8-2f5VzxaS4RuUIzcDEbZJ8,2652.8493968595003,Alfamart
alfamart,5.0,1,-6.2385571,106.8170846,"jl. wolter monginsidi no.125, rt.1/rw.2, rw. bar., kota jakarta selatan",ChIJ7dChQKnxaS4Rc90K7EVLZBA,2749.300769027577,Alfamart
alfamart faletehan,4.3,32,-6.2417419,106.8016892,"jl. falatehan i no.30, rt.2/rw.1, melawai, kota jakarta selatan",ChIJM7mhkrDxaS4RCbsQa_-sjAw,1530.3215574103428,Alfamart
alfamart,3.0,2,-6.236459,106.8006485,"jl. iskandarsyah raya kel no.35, rt.2/rw.1, melawai, kota jakarta selatan",ChIJsaRf3yPxaS4R4cFCV3ZPdak,2092.3145962434487,Alfamart
alfamart koppeg pt pln,3.9,12,-6.2407841,106.8035925,"jl. trunojoyo no.135, rt.6/rw.2, melawai, kota jakarta selatan",ChIJgZrvVmjxaS4R-CmjwHJTv-o,1690.0418987480855,Alfamart
alfamart,4.6,22,-6.236351,106.7872294,"jl. ophir kramat 2 pakubuwono, kel, rt.7/rw.1, gunung, kota jakarta selatan",ChIJvR3FTzzxaS4R3I33kymyg0w,2444.903049160142,Alfamart
