nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,store,nama_kelurahan,nama_kecamatan,nama_kota,competitor_density_500m,jarak_kompetitor_meter,kompetitor_head_to_head,jarak_pasar_meter,pasar_terdekat,pelanggaran_zonasi,cluster_hdbscan_makro,cluster_hdbscan_prob,cluster_dbscan_hotspot,spatial_risk_score
indomaret plus rasamala,4.1,61,-6.2336278,106.8395619,"jl. rasamala raya no.26, rt.7/rw.9, menteng dalam, kota jakarta selatan",ChIJtaqqauvzaS4RnSCep_ghRMM,Indomaret,Menteng Dalam,Tebet,Kota Jakarta Selatan,1,104.45,0,1380.8290199378764,pasar ar riyadh,0,-1,0.0,-1,0.0206
indomaret menara kuningan,5.0,2,-6.2186328,106.8300399,"6, jl. denpasar no.7, rt.6/rw.7, kuningan, karet kuningan, kota jakarta selatan",ChIJX77vnO3zaS4RglK4CERSUh4,Indomaret,Karet Kuningan,Setiabudi,Kota Jakarta Selatan,7,39.73,1,694.3568113262912,pasar mencos,0,24,0.9427934075713166,-1,0.2384
indomaret bukit duri tanjakan 106,0.0,0,-6.224636500000001,106.8590463,"3, jl. ismail no.13-18, rt.3/rw.9, bukit duri, kota jakarta selatan",ChIJ18ZbnBjzaS4RX9R3AMc2iP0,Indomaret,Bukit Duri,Tebet,Kota Jakarta Selatan,16,133.27,0,873.825175848294,pasar jaya bukit duri,0,22,0.9658890621015822,2,0.576
indomaret,4.2,421,-6.229205299999999,106.8474494,"jl. prof supomo no 321 blok bz persil no 19, rt.13/rw.2, tebet barat, rt.13/rw.2, tebet bar., kota jakarta selatan",ChIJxf__P5bzaS4RZ7KfkYohoDc,Indomaret,Tebet Barat,Tebet,Kota Jakarta Selatan,3,82.87,0,1230.756832397928,pasar pspt,0,-1,0.0,-1,0.0618
indomaret gudang peluru,4.8,13,-6.2255444,106.8622325,"jl. gudang peluru raya no.b1, rt.1/rw.1, kebon baru, kota jakarta selatan",ChIJM_MGcAHzaS4RaWCJ-tf_NBA,Indomaret,Kebon Baru,Tebet,Kota Jakarta Selatan,11,116.12,0,1067.715928962144,pasar bengong,0,22,0.37037418861301413,3,0.4135
indomaret asem baris,4.1,23,-6.2389963,106.8602569,"jl. asem baris raya no.1, rt.6/rw.13, kb. baru, kota jakarta selatan",ChIJuZeA4KHzaS4RO8kOMnZzjnw,Indomaret,Kebon Baru,Tebet,Kota Jakarta Selatan,5,110.44,0,572.933449013534,pasar pspt,0,15,0.8948545091034087,43,0.3424
indomaret supomo 2,3.9,40,-6.239277899999999,106.8456902,"jl. prof. dr. soepomo no.02, rt.14/rw.6, tebet bar., kota jakarta selatan",ChIJXRviXL7zaS4RE8cUq9rXJQc,Indomaret,Tebet Barat,Tebet,Kota Jakarta Selatan,1,734.02,0,1322.113543957864,pasar pspt,0,-1,0.0,-1,0.0206
indomaret casablanca mansion fl12,4.0,4,-6.223185200000001,106.8461687,"qrgw+qf6, apartemen casablanca mansion jalan casablanca setia budi, rt.14/rw.5, menteng dalam, kota jakarta selatan",ChIJuRjcO4zzaS4RUa5WFynptng,Indomaret,Menteng Dalam,Tebet,Kota Jakarta Selatan,5,330.4,0,1100.2409818733076,pasar jaya bukit duri,0,22,0.33980914047647914,5,0.2869
indomaret,5.0,1,-6.2256068,106.8622342,"qvf6+qv5, rt.12/rw.9, bukit duri, kota jakarta selatan",ChIJn03pAwTzaS4R0bJEXJlngZc,Indomaret,Bukit Duri,Tebet,Kota Jakarta Selatan,11,121.31,0,1060.8218048870121,pasar bengong,0,22,0.37037418861301413,3,0.4135
indomaret menara imperium (t7xu),4.6,15,-6.2101278,106.8312488,"menara imperium, jl. h. r. rasuna said no.1, rt.1/rw.6, guntur, kota jakarta selatan",ChIJHYztEg_0aS4RoD35swJ40H4,Indomaret,Guntur,Setiabudi,Kota Jakarta Selatan,3,513.2,0,666.0657131719547,pasar mencos,0,-1,0.0,-1,0.0618
indomaret kp melayu jembatan,4.3,8,-6.2261166,106.8638063,"jl. kp. melayu besar 1 no.225, rt.3/rw.1, kb. baru, kota jakarta selatan",ChIJZ4s-S53zaS4Rqs7o2XJV4Lc,Indomaret,Kebon Baru,Tebet,Kota Jakarta Selatan,4,179.77,0,993.4084999660737,pasar bengong,0,22,0.37037418861301413,3,0.2694
indomaret pengadegan timur,4.3,57,-6.248453899999999,106.8587205,"jl. pengadegan timur raya no.2, rt.3/rw.2, pengadegan, kota jakarta selatan",ChIJqUxFMa_zaS4Rb6WsdUlLWrQ,Indomaret,Pengadegan,Pancoran,Kota Jakarta Selatan,8,74.95,0,323.65767977779893,pasar kaget pengadegan,1,15,0.8663708893647858,-1,0.6513
indomaret pangadegan utara,4.4,142,-6.2459671,106.8555993,"no., jl. pengadegan utara no.12a, rt.6/rw.7, cikoko, kota jakarta selatan",ChIJrevYYKXzaS4RywexQtwJGqY,Indomaret,Cikoko,Pancoran,Kota Jakarta Selatan,8,9.09,1,517.9688893165109,pasar kaget pengadegan,0,15,1.0,6,0.4147
indomaret pancoran 7,4.1,31,-6.2497874,106.8365148,"jl. pancoran barat vii, rt. 013 / rw. 006, pancoran, mampang prapatan, rt.12/rw.6, pancoran, kota jakarta selatan",ChIJY3w000zyaS4RJpAudy3L5V4,Indomaret,Pancoran,Pancoran,Kota Jakarta Selatan,5,22.24,1,646.402175549674,pasar ar riyadh,0,9,1.0,7,0.3529
indomaret mt haryono,4.3,3,-6.2422974,106.8551682,"menara mt. haryono, jl. mt. haryono kav 23, rt.12/rw.5, tebet timur, tebet, rt.10/rw.9, tebet tim., kota jakarta selatan",ChIJHQAAwJnzaS4RX1MjemHCBZM,Indomaret,Tebet Timur,Tebet,Kota Jakarta Selatan,9,86.33,0,824.060339862551,pasar pspt,0,15,1.0,8,0.4353
indomaret,0.0,0,-6.2467067,106.8549365,"rw.7, pengadegan, kota jakarta selatan",ChIJZ0DyfMnzaS4RJ9jFt8abwmQ,Indomaret,Pengadegan,Pancoran,Kota Jakarta Selatan,8,47.6,1,462.9511950200611,pasar kaget pengadegan,1,15,0.8820514495885025,6,0.8029
indomaret signature park,4.3,3,-6.242484,106.854727,"mt haryono st no.10, rw.9, east tebet, kota jakarta selatan",ChIJ71RBBiPzaS4RzLWpLbPWU80,Indomaret,Tebet Timur,Pancoran,Kota Jakarta Selatan,9,36.36,1,856.5333549268811,pasar pspt,0,15,1.0,8,0.4353
indomaret of pengadegan,3.9,65,-6.2516495,106.849876,"jl. pengadegan selatan viii no.5b, rt.9/rw.5, pengadegan, kota jakarta selatan",ChIJPRf2ebHzaS4R2AqgbPWyqrI,Indomaret,Pengadegan,Pancoran,Kota Jakarta Selatan,2,22.65,1,758.965337233193,pasar kaget pengadegan,0,-1,0.0,-1,0.0412
indomaret - spbu pancoran tjrt,3.1,10,-6.246947,106.8424352,"qr3r+6x7, rt.1/rw.4, pancoran, kota jakarta selatan",ChIJpzdhkdPzaS4R8PAP1nFVLYE,Indomaret,Pancoran,Pancoran,Kota Jakarta Selatan,1,95.25,0,989.0655038421105,pasar ar riyadh,0,-1,0.0,-1,0.0206
indomaret pancoran barat 7 tfpc,4.8,8,-6.251975799999999,106.8368081,"jl. pancoran barat vii no.9a, rt.8/rw.1, duren tiga, kota jakarta selatan",ChIJEYrs5dDzaS4RJRZWtIRczmM,Indomaret,Duren Tiga,Pancoran,Kota Jakarta Selatan,6,138.95,0,860.7460401102251,pasar kaget,0,9,1.0,7,0.3735
indomaret tower 1,0.0,0,-6.2514995,106.861901,"pvx6+cq3, jl. pengadegan timur i, rt.7/rw.1, pengadegan, kota jakarta selatan",ChIJGYiD7b_zaS4RVrXT4JRudmo,Indomaret,Pengadegan,Pancoran,Kota Jakarta Selatan,6,6.21,1,591.2761004829921,pasar kaget pengadegan,0,15,0.8663708893647858,9,0.3602
indomaret,4.4,56,-6.2113771,106.8413589,"jl. menteng wadas timur no.3, rw.7, ps. manggis, kota jakarta selatan",ChIJ8wnNTnP0aS4Rt4yRAq93XYE,Indomaret,Pasar Manggis,Setiabudi,Kota Jakarta Selatan,11,104.0,0,1651.5503274754735,pasar jaya bukit duri,0,23,0.9750076742567914,1,0.474
indomaret apartemen casablanca,1.0,1,-6.2232986,106.8453453,"jl. raya casablanca no.14, rw.5, menteng dalam, kota jakarta selatan",ChIJV4P3VhjzaS4RnuDMhqW9W2w,Indomaret,Menteng Dalam,Tebet,Kota Jakarta Selatan,5,420.87,0,1185.2548658393653,pasar jaya bukit duri,0,22,0.33980914047647914,5,0.2869
indomaret duren tiga raya. tuoi,4.0,27,-6.2534709,106.8404797,"jalan duren tiga barat no.32, rt.1/rw.1, duren tiga, pancoran, rt.1/rw.1, pancoran, kota jakarta selatan",ChIJkzb3EMrzaS4RXv7xWnaXfb8,Indomaret,Pancoran,Pancoran,Kota Jakarta Selatan,4,39.3,1,750.5649401522866,pasar kaget,0,9,0.8515182977207941,-1,0.1675
indomaret tegal parang. t986,4.1,9,-6.2464648,106.8322217,"qr3j+cw7, jl. tegal parang, rt.7/rw.5, tegal parang, kota jakarta selatan",ChIJezNcc8XzaS4RsQx_12LcMCA,Indomaret,Tegal Parang,Mampang Prapatan,Kota Jakarta Selatan,8,98.2,0,266.8832027476065,pasar ar riyadh,1,9,1.0,10,0.8147
indomaret tegal parang 2. ts86,3.9,33,-6.2441983,106.8324248,"jl. tegal parang utara no.35, rt.7/rw.4, mampang prpt., kota jakarta selatan",ChIJF1D19sTzaS4Rw9CnBydlgJM,Indomaret,Mampang Prapatan,Mampang Prapatan,Kota Jakarta Selatan,7,67.22,0,159.06802391897284,pasar ar riyadh,1,9,1.0,10,0.7941
indomaret pancoran barat 34,0.0,0,-6.251983999999999,106.8367253,"jl. pancoran barat vii no.34, rt.8/rw.6, duren tiga, kota jakarta selatan",ChIJncPt8wXzaS4RDxKhwvnyVpg,Indomaret,Duren Tiga,Pancoran,Kota Jakarta Selatan,6,144.87,0,861.0148665007803,pasar kaget,0,9,1.0,7,0.3735
indomaret mampang 8. t5wi,3.9,17,-6.2477205,106.8306366,"jalan mampang prapatan viii, rt.03 / rw.02, tegal parang, mampang prapatan, rt.3/rw.2, tegal parang, kota jakarta selatan",ChIJ_xUj9s_zaS4RuolU_sbnxqY,Indomaret,Tegal Parang,Mampang Prapatan,Kota Jakarta Selatan,8,146.46,0,488.73991561727854,pasar ar riyadh,1,9,1.0,10,0.8147
indomaret tower 3,0.0,0,-6.2523677,106.8615916,"apartemen pancoran riverside tower 3, jl, jl. pengadegan timur i no.30, rt.6/rw.1, pengadegan, kota jakarta selatan",ChIJV7ZuexPzaS4Raja2xYYiJ_I,Indomaret,Pengadegan,Pancoran,Kota Jakarta Selatan,5,107.15,0,584.5144594328129,pasar kaget pengadegan,0,15,0.8663708893647858,9,0.3396
indomaret apartemen pancoran riverside ftnt,4.4,16,-6.251923499999999,106.8616752,"jl. pengadegan timur i no.30, rt.6/rw.1, pengadegan, kota jakarta selatan",ChIJT9K7ZKnzaS4RYVbkqs38TuU,Indomaret,Pengadegan,Pancoran,Kota Jakarta Selatan,5,57.55,0,577.801898157479,pasar kaget pengadegan,0,15,0.8663708893647858,9,0.3396
indomaret tower 2,0.0,0,-6.2516153,106.861321,"pvx6+9g, pengadegan, kota jakarta selatan",ChIJuzWu8LvzaS4Ra3ud2A7lDHo,Indomaret,Pengadegan,Pancoran,Kota Jakarta Selatan,6,64.55,0,531.2632613359776,pasar kaget pengadegan,0,15,0.8663708893647858,9,0.3602
