store,nama_tempat,latitude,longitude,competitor_density_500m,jarak_kompetitor_meter,kompetitor_head_to_head,cluster_hdbscan_prob,is_hotspot,pasar_density_500m,retail_vs_pasar_ratio,pelanggaran_zonasi,jarak_pasar_meter,pasar_terdekat,spatial_risk_score,cluster_dbscan_raw,cluster_hdbscan_makro
Indomaret,indomaret,-6.2627085,106.7887445,2,35.81,1,0.0,0,0,2.0,0,2460.9040735141507,pasar mayestik,0.0588,-1,-1
Indomaret,indomaret,-6.2774015,106.7765376,6,3.35,1,1.0,0,0,6.0,0,2318.9039877900486,pasar mede pd pasar jaya,0.3765,-1,8
Indomaret,indomaret,-6.278223100000001,106.797096,6,201.62,0,1.0,1,0,6.0,0,971.2135469627709,pasar mede pd pasar jaya,0.6765,19,19
Indomaret,indomaret,-6.2857772,106.7808844,4,152.36,0,0.864520734933026,1,0,4.0,0,1595.1464147292284,pasar mede pd pasar jaya,0.5906,20,8
Indomaret,indomaret,-6.2910563,106.7949517,6,85.95,0,1.0,1,1,3.0,1,478.09001042560624,pasar mede pd pasar jaya,0.6765,21,16
Indomaret,indomaret ciputat raya 4,-6.2829641,106.7806074,3,166.21,0,0.864520734933026,1,0,3.0,0,1676.2289929708359,pasar mede pd pasar jaya,0.5611,20,8
Indomaret,indomaret - plaza satu pondok indah,-6.2843295,106.7811145,3,16.84,1,0.864520734933026,1,0,3.0,0,1589.22450117827,pasar mede pd pasar jaya,0.5611,20,8
Indomaret,indomaret spbu terogong,-6.2821542,106.7916131,2,84.56,0,0.9418554728461154,0,0,2.0,0,654.0634643883272,pasar mede pd pasar jaya,0.2472,-1,19
Indomaret,indomaret ciputat raya 1 {ttdq},-6.269582199999999,106.7748789,3,336.6,0,0.9250975271083702,0,0,3.0,0,2814.7232415546227,pasar pesanggrahan,0.2733,-1,8
Indomaret,indomaret pondok pinang,-6.277701,106.7728599,5,257.41,0,1.0,0,0,5.0,0,2675.551170368305,pasar mede pd pasar jaya,0.3471,-1,8
Indomaret,indomaret fatmawati raya,-6.2695941,106.7975764,9,136.5,0,1.0,1,0,9.0,0,1515.293551939012,pasar cipete selatan,0.7647,18,21
Indomaret,indomaret ciputat raya 5,-6.2776029,106.7794317,3,324.01,0,1.0,0,0,3.0,0,2026.8328784434723,pasar mede pd pasar jaya,0.2882,-1,8
Indomaret,indomaret ciputat raya 5,-6.2711724,106.7755201,2,481.18,0,1.0,0,0,2.0,0,2789.0431703874647,pasar mede pd pasar jaya,0.2588,-1,8
Indomaret,indomaret spbu simatupang,-6.2928207,106.794356,7,171.86,0,1.0,1,0,7.0,0,680.6266105790997,pasar mede pd pasar jaya,0.7059,21,16
Indomaret,indomaret golden fatmawati,-6.2777755,106.7968703,5,246.13,0,1.0,1,0,5.0,0,1015.3554806692191,pasar mede pd pasar jaya,0.6471,19,19
Indomaret,indomaret bintaro mulia.,-6.2609562,106.7672112,8,4.75,1,1.0,0,0,8.0,0,1539.9952895782528,pasar pesanggrahan,0.4353,-1,8
Indomaret,indomaret metro pondok indah,-6.2743949,106.7827922,0,770.81,0,0.0,0,0,0.0,0,1949.1087070675121,pasar mede pd pasar jaya,0.0,-1,-1
Indomaret,indomaret taman cilandak,-6.2930967,106.7920496,10,323.5,0,1.0,1,0,10.0,0,789.0904918165419,pasar mede pd pasar jaya,0.7941,21,16
Indomaret,indomaret ciputat 18,-6.2638128,106.7750009,4,67.87,0,1.0,1,0,4.0,0,2418.2129805047084,pasar pesanggrahan,0.6176,22,8
Indomaret,indomaret h. muhi,-6.2666653,106.7706362,1,465.14,0,1.0,0,0,1.0,0,2255.4572537857644,pasar pesanggrahan,0.2294,-1,8
Indomaret,indomaret abu serin,-6.275743299999999,106.7971777,4,474.54,0,1.0,1,0,4.0,0,1235.186577692869,pasar cipete selatan,0.6176,19,19
