latitude,longitude,competitor_density_500m,jarak_kompetitor_meter,kompetitor_head_to_head,zona_kmeans,pelanggaran_zonasi
-6.2511809,106.7781617,7,381.0623460418954,0,2,0
-6.2523025,106.7913861,8,337.99078671135885,0,2,0
-6.254561799999999,106.7958583,6,73.12481850248155,0,2,0
-6.2511828,106.7813003,10,95.64766461555982,0,2,0
-6.2503084,106.7941812,7,45.66142266026723,1,2,0
-6.2534879,106.7758737,4,31.057708324935366,1,2,0
-6.257153,106.784136,3,126.63103352703732,0,2,0
-6.2505751,106.7834542,8,118.59750354446571,0,2,0
-6.2532473,106.7993526,5,242.22279364626255,0,2,0
-6.2550595,106.7974126,7,109.8786041551512,0,2,0
-6.231106,106.7557339,3,348.18809467242363,0,2,0
-6.241212699999999,106.7563251,4,45.404683888004286,1,2,0
-6.2451289,106.7569883,2,397.2657980663859,0,2,0
-6.2364187,106.7579387,8,122.90023579945209,0,2,1
-6.2337088,106.7574351,8,11.504346132554318,1,2,1
-6.254884199999999,106.7566629,0,565.4397616982882,0,2,1
-6.228395799999999,106.7606678,3,83.3249945436781,0,2,0
-6.237529299999999,106.7545527,9,265.76999134168386,0,2,0
-6.2262773,106.7574534,5,2.6485283910157325,1,2,1
-6.2241206,106.7548738,4,370.33272788695257,0,2,1
-6.240787699999999,106.7915935,2,198.7272476708014,0,2,1
-6.2576627,106.7683716,4,87.02841604182093,0,2,0
-6.2454911,106.80124,8,16.59298508824409,1,2,0
-6.2425243,106.8022062,9,104.08945209380548,0,2,0
-6.246081800000001,106.7998046,7,176.5505501139149,0,2,0
-6.244421399999999,106.8015382,8,108.43769774822066,0,2,0
-6.261597099999999,106.7569951,2,739.8923221287123,0,2,0
-6.2487206,106.754172,3,310.7462223514348,0,2,1
-6.2579731,106.8006317,6,249.2997940165254,0,2,0
-6.263565799999999,106.7568792,1,725.8217849691347,0,2,0
-6.263351900000001,106.7986876,8,294.438097853609,0,2,0
-6.2710224,106.7578861,4,173.5218003575143,0,2,0
-6.272082,106.8009549,3,466.44261046281264,0,2,0
-6.2393471,106.8107088,3,68.32246098556486,0,1,1
-6.2460531,106.8074507,0,693.3711410560591,0,2,0
-6.266423,106.8061697,3,458.1893842145193,0,2,0
-6.2620838,106.8056991,2,476.00547872138856,0,2,0
-6.266061,106.7975764,11,73.23582499553868,0,2,0
-6.2255721,106.8163936,1,317.20581129004717,0,1,0
-6.2249707,106.807775,0,1267.9631362413472,0,1,0
-6.285409400000001,106.8379601,1,515.3465510588177,0,0,0
-6.284196499999999,106.8380562,2,494.8635885219239,0,0,0
-6.2858816,106.8301102,2,98.37579661040456,0,0,0
-6.2599244,106.8548204,5,376.3544552651565,0,1,0
-6.291164699999999,106.8129499,3,180.75283543207527,0,0,0
-6.2957984,106.8366216,2,22.749026730103825,1,0,0
-6.298130500000001,106.8299386,0,598.9545190090552,0,0,0
-6.2892776,106.8242394,2,22.317923992449256,1,0,0
-6.2917269,106.8165986,1,500.5112807561062,0,0,0
-6.301390500000001,106.8214132,0,568.9653682114566,0,0,0
-6.297004200000001,106.8154176,1,353.7653889410475,0,0,0
-6.2905671,106.8235708,2,181.15362171893338,0,0,0
-6.2965402,106.8005802,1,481.9782916170582,0,0,0
-6.303428299999999,106.8267375,1,130.78414314102278,0,0,0
-6.291435099999999,106.8419087,3,297.3011976426872,0,0,1
-6.2961348,106.843599,5,99.97720771422571,0,0,0
-6.3041554,106.8438925,5,93.26932376772328,0,0,0
-6.3039672,106.8508534,5,94.60321833754276,0,0,0
-6.295587599999999,106.8453943,4,183.34051316461702,0,0,0
-6.3045613,106.8437533,5,99.91569768611257,0,0,0
-6.2993709,106.8399129,3,141.82054547707241,0,0,0
-6.2914141,106.8419168,3,296.35777580378544,0,0,1
-6.305132,106.8502399,5,53.568371293835305,0,0,0
-6.3029362,106.8475626,7,102.26370977553734,0,0,0
-6.287836299999999,106.8293824,2,240.0966063233765,0,0,0
-6.3104305,106.8159192,2,251.50709815598344,0,0,0
-6.3085045,106.8381817,8,114.47771757996406,0,0,0
-6.3075195,106.8358518,5,77.73595519314006,0,0,0
-6.3180584,106.8113141,2,863.4227621855271,0,0,0
-6.3203625,106.8106762,2,849.2603825806126,0,0,0
-6.3075877,106.8039904,1,630.6680645858528,0,0,0
-6.313857899999999,106.8255294,3,129.66660339037549,0,0,0
-6.3098246,106.8139564,2,46.08882088879288,1,0,0
-6.3187172,106.8157181,2,385.84554155691734,0,0,0
-6.3119122,106.838572,4,22.88501503835212,1,0,0
-6.321487500000001,106.8251361,2,39.69228820663681,1,0,0
-6.323935700000001,106.8372384,2,200.1599393787813,0,0,0
-6.317959699999999,106.8250448,4,113.32672699680269,0,0,0
-6.3273649,106.8163662,4,24.619809578390964,1,0,0
-6.3245479,106.8301569,4,27.143165917025975,1,0,0
-6.324972,106.8335444,5,274.1006387468631,0,0,0
-6.325327300000001,106.8198997,4,245.52478250265062,0,0,0
-6.330877699999999,106.8343701,5,71.27345438613833,0,0,1
-6.3268289,106.8278567,5,167.05072259526793,0,0,0
-6.3064437,106.8305633,0,500.2892917993197,0,0,0
-6.331093399999999,106.8292052,3,439.80072956099184,0,0,1
-6.3245086,106.8113082,2,443.97734294696835,0,0,0
