place_id,nama_kelurahan,nama_kecamatan,nama_kota
ChIJqxVWcJX1aS4RUAMlnS81uJM,Karet Kuningan,Setiabudi,Kota Jakarta Selatan
ChIJd8d5kgf0aS4RZrS7fXlU-kg,Karet Kuningan,Setiabudi,Kota Jakarta Selatan
ChIJg9H4zDH1aS4Rm3_YlVTAJaY,Karet Kuningan,Setiabudi,Kota Jakarta Selatan
ChIJRScsryb1aS4RlODMjqPRKNU,Kuningan,Setiabudi,Kota Jakarta Selatan
ChIJUyMhTgb0aS4RgL8lQLR7f34,Karet,Setiabudi,Kota Jakarta Selatan
ChIJo-s9oAH0aS4RVJ8YUgAM_DY,Karet,Setiabudi,Kota Jakarta Selatan
ChIJNYn7SAf0aS4RXmIS9qwhxQU,Kuningan,Setiabudi,Kota Jakarta Selatan
ChIJAy-tiaj1aS4RDnaS0bHpQiw,Karet Kuningan,Setiabudi,Kota Jakarta Selatan
ChIJW9fq8I3xaS4RxMcrn3PVoYk,Cipulir,Kebayoran Lama,Kota Jakarta Selatan
ChIJTXm4acHxaS4RKHXcYl6lbG4,Grogol Utara,Kebayoran Lama,Kota Jakarta Selatan
ChIJye3X2v_xaS4R_nF5CHsgfqM,Sukabumi Selatan,Kebon Jeruk,Kota Jakarta Selatan
ChIJj0q3Toz1aS4RmEbgm7uw19A,Setia Budi,KEC SETIABUDI,Kota Jakarta Selatan
ChIJW44xTg70aS4RnoQoC3ewjZY,Karet Kuningan,Setiabudi,Kota Jakarta Selatan
ChIJw9fJV1DzaS4R-MkiDQkHMOY,Tegal Parang,Mampang Prapatan,Kota Jakarta Selatan
ChIJV5SblcTwaS4RFahjIV6xK_g,Pela Mampang,Mampang Prapatan,Kota Jakarta Selatan
ChIJHWXiNejwaS4ROduEiEdqDvs,Petukangan Selatan,Pesanggrahan,Kota Jakarta Selatan
ChIJiZF3MRHxaS4RMkLi-3sXAfI,Ulujami,Pesanggrahan,Kota Jakarta Selatan
ChIJ-agkUa3xaS4RDzBJWhZ9pAQ,Petukangan Utara,Pesanggrahan,Kota Jakarta Selatan
ChIJTfcbXMPwaS4RUTsckpjrLio,Petukangan Utara,Pesanggrahan,Kota Jakarta Selatan
ChIJbZxuR87waS4RypdX0qDk-Ss,Petukangan Utara,Pesanggrahan,Kota Jakarta Selatan
ChIJiThZFNvwaS4RTbh3WkNuQRc,Ulujami,Pesanggrahan,Kota Jakarta Selatan
ChIJfTNH2u_waS4RfAA7VP4nhgA,Pesanggrahan,Pesanggrahan,Kota Jakarta Selatan
