place_id,nama_kelurahan,nama_kecamatan,nama_kota
ChIJXX3NcsX2aS4RkMJNDkES6m0,Grogol Utara,Kebayoran Lama,Kota Jakarta Selatan
ChIJd51xpy33aS4Rtb1xjVOSXzI,Grogol Utara,Kebayoran Lama,Kota Jakarta Selatan
ChIJt____1DwaS4RKkfX8UBEtdo,Bintaro,Pesanggrahan,Kota Jakarta Selatan
ChIJt____1DwaS4RX_eDTTWVP_k,Bintaro,Jakarta Selatan,Kota Jakarta Selatan
ChIJcQydolXwaS4RhUhvgR38H7M,Bintaro,Pesanggrahan,Kota Jakarta Selatan
ChIJUfoIE1TwaS4RtWJPNqpLxvY,Bintaro,Pesanggrahan,Kota Jakarta Selatan
ChIJfdJDkFbwaS4RzRPhnmq9ySw,Bintaro,Pesanggrahan,Kota Jakarta Selatan
ChIJs2ElFvjwaS4RxGz06AXOrTg,Pesanggrahan,Pesanggrahan,Kota Jakarta Selatan
ChIJo_xXbVTwaS4RzpuiYgv408Y,Bintaro,Pesanggrahan,Kota Jakarta Selatan
ChIJEUakJUnwaS4R5nVu-_yApX4,Bintaro,Pesanggrahan,Kota Jakarta Selatan
ChIJhw7nnzDxaS4RVsy9lGn0S7U,Bintaro,Pesanggrahan,Kota Jakarta Selatan
ChIJEf3pk_rxaS4R4b0T-ousRiQ,Pesanggrahan,Pesanggrahan,Kota Jakarta Selatan
ChIJL-ueae7waS4RrdvbPbIBUlw,Petukangan Selatan,Pesanggrahan,Kota Jakarta Selatan
ChIJtXtyLz_xaS4RNegL6qVJ54I,Bintaro,Pesanggrahan,Kota Jakarta Selatan
ChIJN6SvsVnwaS4R7Dvnqx_sr4M,Pesanggrahan,Pesanggrahan,Kota Jakarta Selatan
ChIJCQpntznyaS4R5HJ1zQCwkB4,Pejaten Barat,Pasar Minggu,Kota Jakarta Selatan
ChIJEYrs5dDzaS4RJRZWtIRczmM,Duren Tiga,Pancoran,Kota Jakarta Selatan
ChIJY3w000zyaS4RJpAudy3L5V4,Pancoran,Pancoran,Kota Jakarta Selatan
ChIJITbO1jjyaS4RS5lw3N7iBVM,Pejaten Barat,Pasar Minggu,Kota Jakarta Selatan
ChIJncPt8wXzaS4RDxKhwvnyVpg,Duren Tiga,Pancoran,Kota Jakarta Selatan
ChIJI0tOwjTyaS4RLO_bH3X27As,Kalibata,Pancoran,Kota Jakarta Selatan
ChIJcTAiHDLyaS4R0aVLrIbKjmg,Kalibata,Pancoran,Kota Jakarta Selatan
ChIJkzb3EMrzaS4RXv7xWnaXfb8,Pancoran,Pancoran,Kota Jakarta Selatan
ChIJyTF07TXyaS4RYebkKF7u42o,Kalibata,Pancoran,Kota Jakarta Selatan
ChIJTYdPFlzzaS4R4JoaMHSAiPY,Menteng Dalam,Tebet,Kota Jakarta Selatan
ChIJtaqqauvzaS4RnSCep_ghRMM,Menteng Dalam,Tebet,Kota Jakarta Selatan
